date,time,age,confirmed,deceased
5/15/2020,0,50s,1965,15
5/15/2020,0,60s,1361,38
5/15/2020,0,70s,714,77
5/15/2020,0,80s,490,125
5/16/2020,0,0s,147,0
5/16/2020,0,10s,619,0
5/16/2020,0,20s,3074,0
5/16/2020,0,30s,1209,2
5/16/2020,0,40s,1454,3
5/16/2020,0,50s,1966,15
5/16/2020,0,60s,1364,38
5/16/2020,0,70s,714,77
5/16/2020,0,80s,490,127
5/17/2020,0,0s,147,0
5/17/2020,0,10s,620,0
5/17/2020,0,20s,3079,0
5/17/2020,0,30s,1211,2
5/17/2020,0,40s,1457,3
5/17/2020,0,50s,1967,15
5/17/2020,0,60s,1364,38
5/17/2020,0,70s,715,77
5/17/2020,0,80s,490,127
5/18/2020,0,0s,147,0
5/18/2020,0,10s,621,0
5/18/2020,0,20s,3082,0
5/18/2020,0,30s,1215,2
5/18/2020,0,40s,1462,3
5/18/2020,0,50s,1968,15
5/18/2020,0,60s,1365,38
5/18/2020,0,70s,715,78
5/18/2020,0,80s,490,127
5/19/2020,0,0s,148,0
5/19/2020,0,10s,621,0
5/19/2020,0,20s,3087,0
5/19/2020,0,30s,1215,2
5/19/2020,0,40s,1462,3
5/19/2020,0,50s,1971,15
5/19/2020,0,60s,1368,38
5/19/2020,0,70s,716,78
5/19/2020,0,80s,490,127
5/20/2020,0,0s,148,0
5/20/2020,0,10s,627,0
5/20/2020,0,20s,3100,0
5/20/2020,0,30s,1219,2
5/20/2020,0,40s,1468,3
5/20/2020,0,50s,1972,15
5/20/2020,0,60s,1369,38
5/20/2020,0,70s,717,78
5/20/2020,0,80s,490,127
5/21/2020,0,0s,148,0
5/21/2020,0,10s,631,0
5/21/2020,0,20s,3103,0
5/21/2020,0,30s,1221,2
5/21/2020,0,40s,1471,3
5/21/2020,0,50s,1972,15
5/21/2020,0,60s,1369,38
5/21/2020,0,70s,717,78
5/21/2020,0,80s,490,128
5/22/2020,0,0s,149,0
5/22/2020,0,10s,633,0
5/22/2020,0,20s,3111,0
5/22/2020,0,30s,1225,2
5/22/2020,0,40s,1473,3
5/22/2020,0,50s,1974,15
5/22/2020,0,60s,1369,38
5/22/2020,0,70s,718,78
5/22/2020,0,80s,490,128
5/23/2020,0,0s,149,0
5/23/2020,0,10s,634,0
5/23/2020,0,20s,3113,0
5/23/2020,0,30s,1231,2
5/23/2020,0,40s,1474,3
5/23/2020,0,50s,1983,15
5/23/2020,0,60s,1372,39
5/23/2020,0,70s,718,78
5/23/2020,0,80s,491,129
5/24/2020,0,0s,149,0
5/24/2020,0,10s,636,0
5/24/2020,0,20s,3117,0
5/24/2020,0,30s,1235,2
5/24/2020,0,40s,1481,3
5/24/2020,0,50s,1987,15
5/24/2020,0,60s,1375,39
5/24/2020,0,70s,719,78
5/24/2020,0,80s,491,129
5/25/2020,0,0s,149,0
5/25/2020,0,10s,637,0
5/25/2020,0,20s,3120,0
5/25/2020,0,30s,1238,2
5/25/2020,0,40s,1483,3
5/25/2020,0,50s,1992,15
5/25/2020,0,60s,1377,39
5/25/2020,0,70s,719,79
5/25/2020,0,80s,491,129
5/26/2020,0,0s,150,0
5/26/2020,0,10s,638,0
5/26/2020,0,20s,3123,0
5/26/2020,0,30s,1242,2
5/26/2020,0,40s,1486,3
5/26/2020,0,50s,1996,15
5/26/2020,0,60s,1378,39
5/26/2020,0,70s,721,79
5/26/2020,0,80s,491,131
5/27/2020,0,0s,153,0
5/27/2020,0,10s,640,0
5/27/2020,0,20s,3131,0
5/27/2020,0,30s,1248,2
5/27/2020,0,40s,1489,3
5/27/2020,0,50s,2002,15
5/27/2020,0,60s,1386,39
5/27/2020,0,70s,724,79
5/27/2020,0,80s,492,131
5/28/2020,0,0s,155,0
5/28/2020,0,10s,644,0
5/28/2020,0,20s,3146,0
5/28/2020,0,30s,1274,2
5/28/2020,0,40s,1503,3
5/28/2020,0,50s,2014,15
5/28/2020,0,60s,1392,39
5/28/2020,0,70s,724,79
5/28/2020,0,80s,492,131
5/29/2020,0,0s,156,0
5/29/2020,0,10s,650,0
5/29/2020,0,20s,3158,0
5/29/2020,0,30s,1283,2
5/29/2020,0,40s,1513,3
5/29/2020,0,50s,2023,15
5/29/2020,0,60s,1400,39
5/29/2020,0,70s,724,79
5/29/2020,0,80s,495,131
5/30/2020,0,0s,157,0
5/30/2020,0,10s,655,0
5/30/2020,0,20s,3167,0
5/30/2020,0,30s,1285,2
5/30/2020,0,40s,1517,3
5/30/2020,0,50s,2033,15
5/30/2020,0,60s,1404,39
